38.54.4.209:443#KH [420.75ms]
129.154.50.159:443#KR [优选高速104.86ms]
103.78.133.103:443#KR [137.98ms]
152.67.208.8:443#KR [优选高速159.99ms]
144.24.73.232:443#KR [优选高速198.64ms]
144.24.68.111:443#KR [199.44ms]
104.238.24.164:443#KZ [203.66ms]
104.238.24.139:8443#KZ [210.53ms]
104.238.24.247:443#KZ [224.95ms]
213.155.29.242:443#KZ [271.87ms]
195.58.52.52:8443#KZ [293.07ms]
103.231.72.6:8443#LT [190.03ms]
103.231.72.4:443#LT [227.56ms]
130.12.171.173:443#LT [241.1ms]
103.231.72.6:2053#LT [253.41ms]
195.238.126.11:443#LT [272.55ms]
138.124.182.204:443#LV [203.33ms]
217.60.4.249:443#LV [247.55ms]
217.60.0.95:443#LV [265.11ms]
195.123.210.147:443#LV [265.66ms]
217.28.49.84:8443#LV [270.02ms]
45.86.86.53:443#MD [328.38ms]
45.140.146.23:8443#MD [360.3ms]
91.208.206.103:443#MD [378.79ms]
45.67.229.8:443#MD [383.26ms]
91.229.239.172:443#MD [422.42ms]
45.83.141.93:443#MK [350.14ms]
46.183.185.142:443#MK [390.5ms]
89.185.82.38:8443#MK [489.97ms]
89.185.82.124:8443#MK [559.98ms]
89.185.82.90:8443#MK [601.18ms]
131.196.253.141:443#MX [315.18ms]
216.238.80.148:8443#MX [323.69ms]
216.238.79.83:8443#MX [324.76ms]
131.196.254.151:443#MX [351.14ms]
216.238.92.231:443#MX [352.62ms]
96.126.190.196:443#MY [优选高速135.16ms]
47.250.212.59:443#MY [优选高速304.05ms]
47.250.212.59:2053#MY [优选高速304.92ms]
185.128.227.27:443#MY [326.66ms]
45.89.107.78:2053#MY [461.66ms]
109.248.162.144:2053#NL [159.47ms]
138.124.113.18:443#NL [167.97ms]
109.104.153.94:443#NL [175.44ms]
62.60.235.248:443#NL [180.01ms]
103.65.231.157:443#NL [180.18ms]
194.5.98.105:8443#NO [427.66ms]
194.5.98.105:2053#NO [428.86ms]
81.29.149.219:8443#NO [463.79ms]
89.185.81.48:443#NO [492.38ms]
185.243.217.192:443#NO [523.48ms]
209.146.25.162:443#PH [374.62ms]
64.176.71.121:443#PL [210.18ms]
138.124.19.10:443#PL [212.76ms]
95.85.254.116:443#PL [216.04ms]
212.119.43.74:2053#PL [221.99ms]
57.128.215.214:2053#PL [224.89ms]
5.182.39.57:443#PT [354.56ms]
5.182.39.243:443#PT [355.67ms]
45.12.131.34:8443#PT [369.65ms]
45.12.131.34:443#PT [452.89ms]
185.138.89.45:2053#PT [510.68ms]
156.244.43.22:443#QA [394.4ms]
64.7.199.84:443#RO [261.62ms]
5.253.40.43:443#RO [295.49ms]
64.7.198.92:443#RO [330.62ms]
45.67.34.89:8443#RO [359.65ms]
45.67.34.89:443#RO [360.83ms]
38.180.100.80:443#RS [304.52ms]
194.87.85.185:443#RS [324.61ms]
87.121.38.57:443#RS [403.85ms]
45.15.160.220:443#RS [417.9ms]
89.46.236.145:443#RS [429.2ms]
109.71.11.98:2053#RU [159.66ms]
141.105.70.209:443#RU [176.93ms]
109.61.108.158:8443#RU [193.94ms]
212.74.227.162:443#RU [205.89ms]
92.38.190.44:443#RU [优选高速209.34ms]
62.182.192.195:443#SE [189.66ms]
109.172.95.207:443#SE [190.37ms]
62.182.197.72:443#SE [190.7ms]
62.182.194.189:443#SE [191.5ms]
62.182.193.24:443#SE [195.55ms]
139.180.220.7:443#SG [优选高速113.2ms]
139.180.222.3:443#SG [优选高速120.19ms]
66.42.61.215:443#SG [优选高速125.5ms]
66.42.51.60:8443#SG [126.74ms]
116.251.217.107:443#SG [162.23ms]
194.58.66.220:443#SI [382.77ms]
5.35.103.185:8443#SK [351.79ms]
5.180.55.184:8443#SK [373.87ms]
91.242.163.179:2053#SK [396.21ms]
5.252.23.5:443#SK [416.77ms]
91.242.163.179:8443#SK [440.62ms]
45.91.134.91:2053#TH [310.47ms]
45.150.128.181:443#TH [330.05ms]
45.150.128.159:443#TH [331.1ms]
43.133.110.81:443#TH [350.77ms]
43.249.33.117:443#TH [355.55ms]
62.3.12.185:443#TR [215.29ms]
138.249.20.76:443#TR [232.07ms]
130.94.1.150:443#TR [296.76ms]
2.56.127.230:443#TR [304.84ms]
194.87.91.192:443#TR [321.63ms]
114.33.57.170:443#TW [优选高速115.55ms]
167.253.153.215:443#TW [461.33ms]
167.253.153.147:443#TW [464.19ms]
167.253.153.253:443#TW [506.29ms]
167.253.153.214:443#TW [509.17ms]
171.33.241.51:2053#UA [312.66ms]
91.218.212.223:443#UA [362.45ms]
91.238.105.102:443#UA [398.91ms]
185.86.77.181:8443#UA [562.36ms]
131.143.251.45:8443#US [175.64ms]
134.195.211.140:8443#US [176.57ms]
107.151.188.116:443#US [178.07ms]
107.174.85.164:443#US [178.39ms]
64.186.234.198:443#US [179.42ms]
77.83.206.191:443#UZ [450.91ms]
161.248.31.35:443#VN [156.87ms]
163.61.74.121:443#VN [195.76ms]
123.58.199.241:443#VN [311.95ms]
139.84.231.16:8443#ZA [419.0ms]
139.84.236.69:443#ZA [428.56ms]
139.84.232.188:443#ZA [508.92ms]
